dia-semana;situacao;momento-dia;temp;pista;Vitimas
terca-feira;Sem Vitimas;Amanhecer           ;Ceu Claro           ;Multipla            ;2
sabado;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;2
sabado;Sem Vitimas;Pleno dia           ;Chuva               ;Dupla               ;2
segunda-feira;Fatais;Pleno dia           ;Chuva               ;Dupla               ;2
terca-feira;Feridas;Pleno dia           ;Nublado             ;Dupla               ;2
quarta-feira;Feridas;Pleno dia           ;Chuva               ;Dupla               ;2
quarta-feira;Fatais;Pleno dia           ;Nublado             ;Dupla               ;2
sexta-feira;Feridas;Pleno dia           ;Sol                 ;Dupla               ;2
sexta-feira;Sem Vitimas;Plena Noite         ;Ceu Claro           ;Dupla               ;2
sabado;Feridas;Amanhecer           ;Nublado             ;Multipla            ;2
domingo;Feridas;Pleno dia           ;Sol                 ;Dupla               ;2
segunda-feira;Sem Vitimas;Plena Noite         ;Nublado             ;Dupla               ;2
terca-feira;Sem Vitimas;Pleno dia           ;Nublado             ;Multipla            ;2
quinta-feira;Feridas;Pleno dia           ;Sol                 ;Simples             ;2
sexta-feira;Feridas;Pleno dia           ;Ceu Claro           ;Simples             ;2
sexta-feira;Feridas;Pleno dia           ;Sol                 ;Multipla            ;2
sabado;Feridas;Amanhecer           ;Nublado             ;Dupla               ;2
sabado;Feridas;Pleno dia           ;Nublado             ;Dupla               ;2
terca-feira;Sem Vitimas;Plena Noite         ;Ceu Claro           ;Simples             ;2
sexta-feira;Sem Vitimas;Pleno dia           ;Chuva               ;Multipla            ;2
sabado;Feridas;Plena Noite         ;Garoa/Chuvisco      ;Dupla               ;2
segunda-feira;Feridas;Pleno dia           ;Nublado             ;Dupla               ;2
segunda-feira;Feridas;Plena Noite         ;Nublado             ;Dupla               ;2
quarta-feira;Sem Vitimas;Pleno dia           ;Nublado             ;Multipla            ;2
quarta-feira;Feridas;Pleno dia           ;Garoa/Chuvisco      ;Dupla               ;2
quinta-feira;Sem Vitimas;Pleno dia           ;Nublado             ;Simples             ;1
sexta-feira;Feridas;Amanhecer           ;Ceu Claro           ;Dupla               ;1
segunda-feira;Feridas;Plena Noite         ;Nublado             ;Dupla               ;1
terca-feira;Feridas;Pleno dia           ;Chuva               ;Dupla               ;1
terca-feira;Feridas;Anoitecer           ;Nublado             ;Dupla               ;1
quarta-feira;Sem Vitimas;Pleno dia           ;Ceu Claro           ;Dupla               ;1
quinta-feira;Sem Vitimas;Pleno dia           ;Ceu Claro           ;Dupla               ;1
sexta-feira;Feridas;Amanhecer           ;Chuva               ;Dupla               ;1
sexta-feira;Fatais;Plena Noite         ;Chuva               ;Dupla               ;1
quinta-feira;Sem Vitimas;Plena Noite         ;Nublado             ;Dupla               ;1
sexta-feira;Feridas;Pleno dia           ;Ceu Claro           ;Dupla               ;1
domingo;Feridas;Plena Noite         ;Chuva               ;Dupla               ;1
segunda-feira;Feridas;Pleno dia           ;Chuva               ;Dupla               ;1
quinta-feira;Sem Vitimas;Pleno dia           ;Chuva               ;Multipla            ;2
sexta-feira;Sem Vitimas;Pleno dia           ;Chuva               ;Dupla               ;2
sexta-feira;Feridas;Pleno dia           ;Nublado             ;Multipla            ;2
domingo;Sem Vitimas;Amanhecer           ;Ceu Claro           ;Dupla               ;2
quinta-feira;Feridas;Anoitecer           ;Nublado             ;Dupla               ;1
segunda-feira;Sem Vitimas;Pleno dia           ;Chuva               ;Dupla               ;2
sabado;Feridas;Anoitecer           ;Nublado             ;Dupla               ;1
