"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
185007;2019-01-13;"domingo";"17:45:00";"PE";232;9,2;"RECIFE";"Defeito Mecânico no Veículo";"Colisão traseira";"Sem Vítimas";"Anoitecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;0;2;0;0;2;"-8.077656";"-34.978714";"SR-PE";"DEL11/1";"UOP01/PE"
185008;2019-01-13;"domingo";"06:50:00";"SC";101;322;"PESCARIA BRAVA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;0;1;1;0;1;2;"-28.4267";"-48.9086";"SR-SC";"DEL8/2";"UOP01/SC"
185009;2019-01-13;"domingo";"17:35:00";"MG";262;69,3;"MATIPO";"Ingestão de Álcool";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";2;0;1;1;0;0;2;1;"-20.307449";"-42.286644";"SR-MG";"DEL4/6";"UOP04/MG"
185011;2019-01-13;"domingo";"18:00:00";"BA";116;426;"FEIRA DE SANTANA";"Falta de Atenção à Condução";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Viaduto";"Não";1;0;1;0;0;0;1;1;"-12.26718536";"-38.98936562";"SR-BA";"DEL10/2";"UOP01/BA"
185012;2019-01-13;"domingo";"19:10:00";"SC";280;5,5;"SAO FRANCISCO DO SUL";"Falta de Atenção à Condução";"Colisão transversal";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Nublado";"Simples";"Reta";"Sim";5;0;2;0;3;0;2;3;"-26.260122";"-48.625729";"SR-SC";"DEL8/3";"UOP03/SC"
185013;2019-01-13;"domingo";"19:20:00";"SC";470;66,7;"INDAIAL";"Ingestão de Álcool";"Colisão com objeto estático";"Sem Vítimas";"Anoitecer";"Crescente";"Nublado";"Simples";"Ponte";"Não";1;0;0;0;1;0;0;1;"-26.870407";"-49.221844";"SR-SC";"DEL8/4";"UOP01/SC"
185014;2019-01-13;"domingo";"17:15:00";"RJ";116;104;"GUAPIMIRIM";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;1;0;2;0;1;2;"-22.508421";"-42.998241";"SR-RJ";"DEL5/4";"UOP02/RJ"
185015;2019-01-09;"quarta-feira";"20:00:00";"SC";282;507,9;"XANXERE";"Falta de Atenção à Condução";"Colisão traseira";"Sem Vítimas";"Anoitecer";"Crescente";"Nublado";"Simples";"Não Informado";"Não";2;0;0;0;2;0;0;2;"-26.886171";"-52.43911";"SR-SC";"DEL7";"UOP01/SC"
185016;2019-01-13;"domingo";"18:30:00";"ES";101;364;"ANCHIETA";"Falta de Atenção à Condução";"Capotamento";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;"-20.72432755";"-40.73970795";"SR-ES";"DEL12/3";"UOP01/ES"
185017;2019-01-13;"domingo";"18:30:00";"RN";427;95;"CAICO";"Animais na Pista";"Atropelamento de Animal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta";"Sim";1;0;1;0;0;0;1;1;"-6.477626";"-37.070442";"SR-RN";"DEL15/3";"UOP01/RN"
185018;2019-01-13;"domingo";"18:30:00";"MS";163;672,2;"RIO VERDE DE MATO GROSSO";"Ingestão de Álcool";"Colisão lateral";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Múltipla";"Não Informado";"Não";3;0;0;1;1;1;1;2;"-18.987893";"-54.828168";"SR-MS";"DEL3/6";"UOP02/MS"
185019;2019-01-13;"domingo";"18:20:00";"MG";116;420;"GOVERNADOR VALADARES";"Desobediência às normas de trânsito pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;1;0;0;0;1;1;"-18.93259326";"-41.94271088";"SR-MG";"DEL4/6";"UOP01/MG"
185020;2019-01-13;"domingo";"17:26:00";"MG";381;429,5;"SABARA";"Falta de Atenção à Condução";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";2;0;1;0;1;0;1;2;"-19.78706817";"-43.71037614";"SR-MG";"DEL4/1";"UOP01/MG"
